"YearBuilt","YearRemodeled","Condition","FinSqFt","Bedroom","FullBath","HalfBath","LotSize","TotalValue","City"
1997,0,"Good",2279,4,3,1,2.81,372600,"EARLYSVILLE"
2001,0,"Good",2806,4,3,0,3.84,464200,"EARLYSVILLE"
1978,0,"Good",1308,3,2,0,2,217600,"EARLYSVILLE"
1978,0,"Good",1679,3,3,0,2.05,291300,"EARLYSVILLE"
2015,0,"Excellent",1892,3,2,0,8.01,465800,"EARLYSVILLE"
2005,0,"Excellent",3015,4,3,1,3.02,515900,"EARLYSVILLE"
2005,0,"Good",3445,4,3,1,5.869,562900,"EARLYSVILLE"
2007,0,"Excellent",3160,5,5,2,3.46,654800,"EARLYSVILLE"
1980,0,"Good",1709,3,3,0,3,318700,"EARLYSVILLE"
1957,0,"Average",1501,4,2,0,6.16,251700,"EARLYSVILLE"
1945,0,"Average",1344,3,1,0,91.95,455200,"EARLYSVILLE"
1977,0,"Good",1040,3,2,1,2.003,206700,"EARLYSVILLE"
1977,0,"Good",1216,3,2,0,2.057,200700,"EARLYSVILLE"
1996,0,"Good",2510,3,3,1,4.75,627900,"EARLYSVILLE"
1998,0,"Good",1773,4,2,0,2.412,195800,"EARLYSVILLE"
1988,0,"Good",1970,4,2,1,2.33,302100,"EARLYSVILLE"
1999,0,"Good",2990,4,3,1,2.29,386500,"EARLYSVILLE"
2009,0,"Excellent",4313,4,3,1,2.238,982300,"EARLYSVILLE"
2006,0,"Good",3302,4,3,1,3.098,793800,"EARLYSVILLE"
2008,0,"Excellent",4842,3,3,0,24.298,1874600,"EARLYSVILLE"
2008,0,"Good",1550,3,2,0,2,144400,"EARLYSVILLE"
2003,0,"Good",2617,4,2,1,6.27,482300,"EARLYSVILLE"
2001,0,"Good",2536,4,2,1,3.09,449000,"EARLYSVILLE"
2014,0,"Average",3116,4,4,0,2.221,638900,"EARLYSVILLE"
1979,0,"Good",1405,3,3,0,2.16,250100,"EARLYSVILLE"
1950,0,"Average",984,3,1,0,3.55,184900,"EARLYSVILLE"
1979,0,"Good",1307,3,3,0,2.84,235400,"EARLYSVILLE"
2007,0,"Excellent",2932,4,3,1,2.133,543500,"EARLYSVILLE"
1974,0,"Good",1348,3,1,1,3.33,261400,"EARLYSVILLE"
1984,0,"Good",2876,4,3,0,24.656,603300,"EARLYSVILLE"
1988,0,"Average",2389,3,3,0,2.163,252500,"CROZET"
2005,0,"Good",4114,4,4,0,143.51,860400,"EARLYSVILLE"
1903,2000,"Good",4496,5,3,0,258.534,2230700,"EARLYSVILLE"
1968,0,"Average",2186,3,2,1,9.45,358400,"EARLYSVILLE"
1940,0,"Average",733,1,0,0,3.165,68100,"CROZET"
1957,0,"Fair",1266,3,1,0,15.449,169300,"CROZET"
1895,0,"Fair",1218,3,1,0,6,135100,"CROZET"
1904,0,"Average",1335,3,1,0,288.139,1111500,"CROZET"
1965,0,"Average",1379,3,1,0,0.92,171100,"EARLYSVILLE"
1989,0,"Average",1800,3,2,1,4.159,270600,"EARLYSVILLE"
1920,0,"Poor",944,2,1,0,32.94,251000,"CROZET"
1996,0,"Average",909,2,1,0,12.3,368300,"CROZET"
1994,0,"Average",2413,4,4,1,34.8,716500,"CROZET"
1801,1984,"Average",1050,2,2,0,15,363800,"CROZET"
1932,2000,"Average",3315,3,4,0,5,373800,"CROZET"
1966,0,"Average",1162,3,1,0,10.756,305900,"EARLYSVILLE"
1886,0,"Poor",1784,3,0,0,104.93,602000,"EARLYSVILLE"
1986,0,"Average",1352,3,2,0,1.859,230200,"EARLYSVILLE"
1979,0,"Fair",1487,3,2,0,7.284,267900,"EARLYSVILLE"
1969,0,"Average",1719,2,2,0,3.59,312100,"EARLYSVILLE"
1988,0,"Average",1918,3,3,0,0,362500,"EARLYSVILLE"
1961,0,"Average",965,2,1,0,1.665,120500,"EARLYSVILLE"
1936,1996,"Average",2656,4,2,1,2,292900,"CROZET"
1986,1999,"Fair",1660,1,1,0,2,97400,"CROZET"
2006,0,"Good",1274,3,2,0,30.54,216700,"CROZET"
1975,0,"Good",1440,3,3,1,2.15,262900,"EARLYSVILLE"
1997,0,"Good",2769,3,2,1,22.04,529700,"EARLYSVILLE"
1983,0,"Average",1300,3,2,0,3,270400,"CHARLOTTESVILLE"
1976,0,"Average",1092,3,3,0,2.91,232300,"CHARLOTTESVILLE"
1950,0,"Average",1344,2,1,0,0.87,134100,"CHARLOTTESVILLE"
1980,0,"Good",1196,3,2,0,2.007,249000,"CHARLOTTESVILLE"
1961,0,"Good",1651,3,1,1,0.7,197900,"CHARLOTTESVILLE"
1964,0,"Poor",1120,4,1,1,1,240300,"CHARLOTTESVILLE"
1974,2014,"Good",1056,3,1,1,0,142900,"CHARLOTTESVILLE"
2007,0,"Excellent",1420,4,3,0,0.05,257300,"CHARLOTTESVILLE"
2007,0,"Excellent",1402,3,2,1,0.04,240200,"CHARLOTTESVILLE"
2007,0,"Excellent",1402,3,2,1,0.031,228000,"CHARLOTTESVILLE"
2007,0,"Excellent",1402,3,2,1,0.031,229900,"CHARLOTTESVILLE"
2008,0,"Excellent",1420,3,3,0,0.05,261000,"CHARLOTTESVILLE"
2008,0,"Excellent",1420,4,3,0,0.071,266900,"CHARLOTTESVILLE"
2010,0,"Excellent",1668,3,3,0,0.05,280100,"CHARLOTTESVILLE"
2010,0,"Excellent",1420,4,3,0,0.05,259500,"CHARLOTTESVILLE"
2010,0,"Excellent",1320,3,2,1,0.086,239500,"CHARLOTTESVILLE"
1974,0,"Average",1512,3,2,0,0.42,264300,"CHARLOTTESVILLE"
1968,0,"Average",1196,4,1,1,0.34,232500,"CHARLOTTESVILLE"
2000,0,"Average",1560,3,2,1,0.33,240800,"CHARLOTTESVILLE"
1972,0,"Average",2255,4,3,1,0.328,321700,"CHARLOTTESVILLE"
1973,0,"Average",1479,3,3,0,0.248,320300,"CHARLOTTESVILLE"
1998,0,"Good",3445,2,2,1,1.88,2136400,"CHARLOTTESVILLE"
1960,2000,"Good",4438,5,4,0,3.184,2360900,"CHARLOTTESVILLE"
1989,0,"Good",5360,4,3,1,4.04,2819000,"CHARLOTTESVILLE"
1947,2016,"Good",6431,4,4,2,3.26,3078900,"CHARLOTTESVILLE"
1966,1985,"Average",2772,5,3,0,1.656,1194700,"CHARLOTTESVILLE"
1967,0,"Average",2509,4,3,1,1.404,1670800,"CHARLOTTESVILLE"
1940,0,"Average",5063,5,4,2,8.166,3036300,"CHARLOTTESVILLE"
1969,0,"Good",1356,3,2,2,0,224800,"CHARLOTTESVILLE"
1970,0,"Average",1386,4,3,1,0,214300,"CHARLOTTESVILLE"
1988,0,"Good",4424,5,3,1,4.76,923700,"CHARLOTTESVILLE"
1995,0,"Average",4313,5,4,1,6.6,1121800,"CHARLOTTESVILLE"
2014,0,"Excellent",3033,3,3,1,0.108,908500,"CHARLOTTESVILLE"
2016,0,"Average",2271,3,3,1,0.073,643700,"CHARLOTTESVILLE"
1978,0,"Average",2070,2,2,1,1.07,376900,"CHARLOTTESVILLE"
1998,0,"Average",3040,4,4,0,2.142,376700,"CHARLOTTESVILLE"
1870,0,"Average",2448,4,4,0,6.342,994200,"CHARLOTTESVILLE"
1984,0,"Average",1408,3,2,1,0.0946,221300,"CHARLOTTESVILLE"
1979,0,"Average",1427,3,2,1,0.3735,303100,"CHARLOTTESVILLE"
1980,0,"Average",1120,3,1,1,0.126,245400,"CHARLOTTESVILLE"
1983,0,"Average",1084,4,1,1,0.134,252900,"CHARLOTTESVILLE"
1984,0,"Average",1776,3,2,1,0.1777,275400,"CHARLOTTESVILLE"
1998,0,"Average",1560,4,3,1,0.0913,223300,"CHARLOTTESVILLE"
1996,0,"Average",1564,3,2,1,0.0913,206600,"CHARLOTTESVILLE"
1975,0,"Good",1445,3,2,1,0,190500,"CHARLOTTESVILLE"
1976,0,"Average",1385,3,2,1,0,180200,"CHARLOTTESVILLE"
1975,0,"Average",1407,3,3,1,0,186900,"CHARLOTTESVILLE"
1976,1995,"Good",1462,3,2,0,0,191700,"CHARLOTTESVILLE"
1994,0,"Average",1344,3,3,0,0,178000,"CHARLOTTESVILLE"
1983,0,"Good",1312,3,1,2,0,194100,"CHARLOTTESVILLE"
1986,0,"Average",1320,3,1,2,0,177800,"CHARLOTTESVILLE"
1984,0,"Good",1134,2,2,1,0,185200,"CHARLOTTESVILLE"
2002,0,"Good",1066,3,2,1,0,164900,"CHARLOTTESVILLE"
2002,0,"Good",1061,3,2,1,0,158600,"CHARLOTTESVILLE"
1967,0,"Average",1596,4,3,0,0,348100,"CHARLOTTESVILLE"
1963,0,"Average",2165,3,2,1,0,343900,"CHARLOTTESVILLE"
1971,0,"Average",1056,3,1,1,0,167000,"CHARLOTTESVILLE"
1959,0,"Average",1421,4,3,0,1,375600,"CHARLOTTESVILLE"
1985,0,"Good",1550,3,2,1,0.176,266700,"CHARLOTTESVILLE"
1969,0,"Average",934,3,2,0,0,90700,"CHARLOTTESVILLE"
1969,0,"Fair",943,2,1,1,0,85600,"CHARLOTTESVILLE"
1960,0,"Average",1073,3,1,0,0,201400,"CHARLOTTESVILLE"
1960,0,"Average",1073,3,1,0,0,194700,"CHARLOTTESVILLE"
1960,0,"Average",1134,3,2,0,0,202500,"CHARLOTTESVILLE"
1969,0,"Average",1404,3,2,1,0,228600,"CHARLOTTESVILLE"
1980,0,"Average",1008,2,1,1,0.155,153600,"CHARLOTTESVILLE"
1980,0,"Average",1008,2,1,1,0.162,153600,"CHARLOTTESVILLE"
1981,0,"Average",1008,2,1,1,0.181,154300,"CHARLOTTESVILLE"
1986,0,"Average",1120,2,2,0,0,118400,"CHARLOTTESVILLE"
1982,0,"Average",973,2,2,0,0,114000,"CHARLOTTESVILLE"
1986,0,"Average",1120,2,2,0,0,117100,"CHARLOTTESVILLE"
1986,0,"Average",979,2,2,0,0,114900,"CHARLOTTESVILLE"
1986,0,"Average",979,2,2,0,0,109900,"CHARLOTTESVILLE"
1986,0,"Average",979,2,2,0,0,114900,"CHARLOTTESVILLE"
1983,0,"Average",1120,2,2,0,0,117100,"CHARLOTTESVILLE"
1983,0,"Average",1120,2,2,0,0,123100,"CHARLOTTESVILLE"
1985,0,"Average",1120,2,2,0,0,123100,"CHARLOTTESVILLE"
1984,0,"Average",973,2,2,0,0,109000,"CHARLOTTESVILLE"
1985,0,"Average",979,2,2,0,0,109900,"CHARLOTTESVILLE"
1983,0,"Average",890,1,1,0,0,105200,"CHARLOTTESVILLE"
1983,0,"Average",749,1,1,0,0,97000,"CHARLOTTESVILLE"
1973,0,"Good",1566,3,2,0,6.269,315700,"SCOTTSVILLE"
1966,0,"Average",1215,3,1,0,23.07,333100,"SCOTTSVILLE"
1930,0,"Average",1484,2,3,0,0.907,202100,"SCOTTSVILLE"
1924,2008,"Average",1218,3,2,0,0.328,130500,"SCOTTSVILLE"
1961,0,"Good",1105,3,1,1,0.47,167300,"SCOTTSVILLE"
1940,0,"Good",1327,3,1,0,45,473000,"SCOTTSVILLE"
1983,0,"Average",1392,3,2,0,2,229200,"SCOTTSVILLE"
1948,1981,"Average",960,2,1,0,2.59,129900,"SCOTTSVILLE"
1990,0,"Average",1408,3,2,1,0,185600,"CHARLOTTESVILLE"
2016,0,"Average",1880,3,2,2,0.045,327400,"CHARLOTTESVILLE"
1981,0,"Average",1246,3,2,1,0,192700,"CHARLOTTESVILLE"
1983,0,"Average",1312,3,1,2,0,177300,"CHARLOTTESVILLE"
1984,0,"Average",1323,3,1,2,0,174200,"CHARLOTTESVILLE"
1984,0,"Average",1323,3,1,2,0,174300,"CHARLOTTESVILLE"
1986,0,"Good",1152,2,2,1,0,189900,"CHARLOTTESVILLE"
2002,0,"Good",1061,3,2,1,0,164600,"CHARLOTTESVILLE"
2002,0,"Good",1069,3,2,1,0,165100,"CHARLOTTESVILLE"
2002,0,"Good",1042,3,2,1,0,169300,"CHARLOTTESVILLE"
1965,0,"Average",1607,4,2,1,0,346400,"CHARLOTTESVILLE"
1971,0,"Average",1200,3,1,1,0,173400,"CHARLOTTESVILLE"
1969,0,"Fair",947,2,1,1,0,88200,"CHARLOTTESVILLE"
1978,0,"Average",1820,3,2,0,0.577,230900,"CHARLOTTESVILLE"
1957,0,"Average",1112,3,1,0,0,184500,"CHARLOTTESVILLE"
1960,0,"Average",1305,4,2,1,0,226600,"CHARLOTTESVILLE"
1971,0,"Average",1665,3,2,0,0,257100,"CHARLOTTESVILLE"
1972,0,"Average",1063,3,1,1,0,198700,"CHARLOTTESVILLE"
1980,0,"Average",1008,2,1,1,0.164,153600,"CHARLOTTESVILLE"
1980,0,"Average",1008,2,1,1,0.165,154800,"CHARLOTTESVILLE"
1981,0,"Average",1008,2,1,1,0.168,153600,"CHARLOTTESVILLE"
1982,0,"Average",1120,2,2,0,0,117600,"CHARLOTTESVILLE"
1983,0,"Average",973,2,2,0,0,109000,"CHARLOTTESVILLE"
1984,0,"Average",979,2,2,0,0,109900,"CHARLOTTESVILLE"
1985,0,"Average",973,2,2,0,0,114000,"CHARLOTTESVILLE"
1983,0,"Average",743,1,1,0,0,92200,"CHARLOTTESVILLE"
1983,0,"Average",743,1,1,0,0,96200,"CHARLOTTESVILLE"
1987,0,"Average",890,1,1,0,0,100200,"CHARLOTTESVILLE"
2004,0,"Average",1974,3,2,0,0.179,373500,"CHARLOTTESVILLE"
2005,0,"Average",1991,3,2,0,0.179,350000,"CHARLOTTESVILLE"
1973,0,"Average",1612,3,3,0,0,308400,"CHARLOTTESVILLE"
1971,0,"Average",1311,3,3,0,0,290400,"CHARLOTTESVILLE"
1971,0,"Average",1421,5,3,0,0,283800,"CHARLOTTESVILLE"
1992,0,"Good",2216,4,2,1,1.65,368600,"CHARLOTTESVILLE"
1990,0,"Good",2260,4,2,0,1.332,404400,"CHARLOTTESVILLE"
1975,0,"Good",1125,3,1,1,0.2084,175800,"CHARLOTTESVILLE"
1995,0,"Good",1337,3,1,1,0.2395,195700,"CHARLOTTESVILLE"
1978,0,"Average",1008,3,2,0,0.2458,166400,"CHARLOTTESVILLE"
1977,0,"Average",1224,3,1,1,0.2224,168800,"CHARLOTTESVILLE"
1978,0,"Poor",1008,3,2,0,0.2907,179100,"CHARLOTTESVILLE"
1977,0,"Good",1196,3,2,0,1.023,279300,"CHARLOTTESVILLE"
1976,0,"Good",1137,4,2,1,0.998,275700,"CHARLOTTESVILLE"
1979,0,"Good",1196,3,2,1,0.952,272900,"CHARLOTTESVILLE"
1997,0,"Average",1520,3,2,1,0.084,187500,"CHARLOTTESVILLE"
1981,0,"Good",1230,3,1,1,0.086,166700,"CHARLOTTESVILLE"
1983,0,"Average",1321,3,1,2,0.082,163200,"CHARLOTTESVILLE"
1981,0,"Average",1230,3,1,1,0.069,141800,"CHARLOTTESVILLE"
1990,0,"Average",1322,3,2,1,0.085,171300,"CHARLOTTESVILLE"
2016,0,"Good",2496,4,3,1,0.098,414500,"CHARLOTTESVILLE"
1992,0,"Average",1322,3,2,1,0.114,161100,"CHARLOTTESVILLE"
2013,0,"Excellent",1440,3,2,1,0.04,240300,"CHARLOTTESVILLE"
2014,0,"Excellent",2460,4,3,1,0.119,383400,"CHARLOTTESVILLE"
2016,0,"Good",1805,3,2,1,0.119,332600,"CHARLOTTESVILLE"
2014,0,"Excellent",2424,4,3,1,0.118,407200,"CHARLOTTESVILLE"
2012,0,"Excellent",2228,4,3,1,0.138,356900,"CHARLOTTESVILLE"
2013,0,"Excellent",2816,4,2,1,0.132,394500,"CHARLOTTESVILLE"
1996,0,"Average",1458,3,2,1,0.125,173500,"CHARLOTTESVILLE"
2002,0,"Average",1614,3,2,1,0.043,189200,"CHARLOTTESVILLE"
2003,0,"Average",1602,3,3,1,0.078,217300,"CHARLOTTESVILLE"
2015,0,"Excellent",2244,4,3,1,0.095,395400,"CHARLOTTESVILLE"
2014,0,"Excellent",2748,4,3,1,0.093,453300,"CHARLOTTESVILLE"
1989,0,"Average",3378,3,2,1,5.296,585200,"CHARLOTTESVILLE"
1985,0,"Average",2073,3,2,1,2,374800,"CHARLOTTESVILLE"
1999,0,"Average",3736,4,4,1,5.48,722300,"CHARLOTTESVILLE"
1987,0,"Average",2072,3,2,1,2.005,375400,"CHARLOTTESVILLE"
1980,0,"Average",1625,2,3,1,2.063,430600,"CHARLOTTESVILLE"
1974,0,"Average",1512,3,2,0,0.6977,311100,"CHARLOTTESVILLE"
1973,0,"Average",1371,3,2,0,0.8487,301200,"CHARLOTTESVILLE"
1959,0,"Average",1652,3,2,1,0.6,329100,"CHARLOTTESVILLE"
2012,0,"Excellent",3702,4,4,1,0.7583,653600,"CHARLOTTESVILLE"
1973,0,"Average",882,2,1,0,0,120800,"CHARLOTTESVILLE"
1973,0,"Average",882,2,1,0,0,120800,"CHARLOTTESVILLE"
1973,0,"Average",882,2,1,0,0,120800,"CHARLOTTESVILLE"
1973,0,"Average",882,2,1,0,0,120800,"CHARLOTTESVILLE"
1970,2000,"Average",2065,4,3,0,0.9852,344300,"CHARLOTTESVILLE"
1970,2000,"Average",1792,4,3,0,1.17,354100,"CHARLOTTESVILLE"
1973,0,"Average",1340,5,3,0,1.2455,299500,"CHARLOTTESVILLE"
1962,0,"Average",2118,4,3,0,0.8851,385800,"CHARLOTTESVILLE"
1972,0,"Average",2172,4,2,1,1.2539,338600,"CHARLOTTESVILLE"
2007,0,"Good",2759,4,4,1,0.408,583400,"CHARLOTTESVILLE"
2007,0,"Good",3214,4,2,1,0.353,593400,"CHARLOTTESVILLE"
1967,0,"Average",1726,3,2,1,0.9618,363100,"CHARLOTTESVILLE"
1971,2005,"Excellent",2548,4,3,1,1.733,507400,"CHARLOTTESVILLE"
1969,0,"Average",1551,5,3,0,0,328600,"CHARLOTTESVILLE"
1977,0,"Average",2812,4,2,1,5.019,529100,"CHARLOTTESVILLE"
1969,0,"Average",1500,4,2,1,0,324200,"CHARLOTTESVILLE"
1984,0,"Average",1642,3,2,0,2.18,385500,"CHARLOTTESVILLE"
1983,0,"Average",960,2,1,1,0,179300,"CHARLOTTESVILLE"
1983,0,"Average",1232,2,2,1,0,219400,"CHARLOTTESVILLE"
1983,0,"Average",880,2,1,0,0,189100,"CHARLOTTESVILLE"
1983,0,"Average",1040,2,1,1,0,197400,"CHARLOTTESVILLE"
1983,0,"Average",1232,2,2,1,0,200700,"CHARLOTTESVILLE"
1984,0,"Average",1120,2,2,1,0,181700,"CHARLOTTESVILLE"
1984,0,"Average",880,2,1,0,0,173400,"CHARLOTTESVILLE"
1987,0,"Average",890,1,1,0,0,100700,"CHARLOTTESVILLE"
1980,0,"Good",1300,3,2,1,0.3274,245100,"CHARLOTTESVILLE"
1979,0,"Good",1284,3,2,0,0.2261,269600,"CHARLOTTESVILLE"
1983,0,"Good",1261,3,2,0,0.144,227300,"CHARLOTTESVILLE"
1979,0,"Good",1568,3,2,1,0.319,243400,"CHARLOTTESVILLE"
1984,0,"Average",979,3,2,1,0.127,220700,"CHARLOTTESVILLE"
1988,0,"Good",1463,3,2,1,0.242,192100,"CHARLOTTESVILLE"
1982,0,"Good",1516,2,2,1,0,215200,"CHARLOTTESVILLE"
1982,0,"Average",1706,2,2,1,0,222200,"CHARLOTTESVILLE"
1992,0,"Average",927,2,2,0,0,157200,"CHARLOTTESVILLE"
1981,0,"Average",1384,3,1,1,0,178500,"CHARLOTTESVILLE"
1981,0,"Average",1395,3,1,1,0,178500,"CHARLOTTESVILLE"
1982,0,"Average",1232,3,1,1,0,170900,"CHARLOTTESVILLE"
1983,0,"Average",1344,2,2,1,0,175300,"CHARLOTTESVILLE"
1984,0,"Average",1408,2,2,1,0,186400,"CHARLOTTESVILLE"
1973,0,"Good",1428,3,1,1,0,153700,"CHARLOTTESVILLE"
1973,0,"Average",1428,3,1,1,0,161300,"CHARLOTTESVILLE"
1973,0,"Average",1428,3,1,1,0,153700,"CHARLOTTESVILLE"
1973,0,"Average",1428,3,1,1,0,154800,"CHARLOTTESVILLE"
1974,0,"Average",949,2,1,1,0,102700,"CHARLOTTESVILLE"
1974,0,"Average",949,2,1,1,0,104700,"CHARLOTTESVILLE"
1974,0,"Average",949,2,1,1,0,104700,"CHARLOTTESVILLE"
1974,0,"Good",949,2,1,1,0,109900,"CHARLOTTESVILLE"
1971,0,"Average",3145,4,3,0,0,269900,"CHARLOTTESVILLE"
1972,0,"Average",2094,3,3,0,0,267400,"CHARLOTTESVILLE"
1974,0,"Average",1502,3,2,0,0,256900,"CHARLOTTESVILLE"
1972,0,"Average",1520,3,2,0,0,259500,"CHARLOTTESVILLE"
1972,0,"Average",2790,4,2,1,0,282000,"CHARLOTTESVILLE"
1973,0,"Average",2094,3,2,1,0,265300,"CHARLOTTESVILLE"
1973,0,"Good",1502,3,2,0,0,276700,"CHARLOTTESVILLE"
1972,0,"Average",1428,3,1,1,0,159600,"CHARLOTTESVILLE"
1972,0,"Good",1428,3,1,1,0,169800,"CHARLOTTESVILLE"
2008,0,"Average",1428,3,1,1,0,175100,"CHARLOTTESVILLE"
1973,0,"Average",1561,3,2,0,0,215700,"CHARLOTTESVILLE"
2014,0,"Excellent",2368,4,3,1,0.088,423700,"CHARLOTTESVILLE"
2016,0,"Average",1744,3,2,1,0.098,368400,"CHARLOTTESVILLE"
2014,0,"Excellent",2496,4,2,1,0.092,408600,"EARLYSVILLE"
1981,0,"Average",1684,3,2,0,2.441,218900,"CHARLOTTESVILLE"
1992,0,"Good",1578,3,2,1,5.071,328700,"CHARLOTTESVILLE"
1982,0,"Average",1451,1,1,0,13.07,205000,"CHARLOTTESVILLE"
1980,0,"Good",2004,3,2,1,2.183,256200,"CHARLOTTESVILLE"
2005,0,"Good",2144,4,2,1,2.01,265200,"CHARLOTTESVILLE"
1989,0,"Good",1116,3,2,0,3.13,209700,"CHARLOTTESVILLE"
2008,0,"Excellent",2560,4,3,1,2.093,434000,"CHARLOTTESVILLE"
1996,0,"Good",1532,3,2,1,26.921,348500,"CHARLOTTESVILLE"
2003,0,"Excellent",2064,4,3,1,4.553,412700,"CHARLOTTESVILLE"
2009,0,"Good",1456,3,2,0,2.001,231900,"CHARLOTTESVILLE"
1999,0,"Average",1331,3,2,0,3,120600,"CHARLOTTESVILLE"
1972,0,"Average",960,3,1,0,0.862,95400,"CROZET"
1997,0,"Average",2743,3,3,1,13.963,563200,"CROZET"
1940,0,"Poor",1458,3,1,0,86.34,104800,"CROZET"
2013,0,"Average",1632,3,1,1,2,239300,"CROZET"
1994,0,"Good",2518,3,2,1,4.367,502800,"CHARLOTTESVILLE"
1995,0,"Good",2111,2,3,1,11.376,692400,"CHARLOTTESVILLE"
1949,0,"Average",3753,4,3,0,6.077,693600,"CHARLOTTESVILLE"
1987,0,"Average",2296,4,3,1,2.17,523900,"CHARLOTTESVILLE"
1981,0,"Average",1553,2,2,0,3.77,406600,"CHARLOTTESVILLE"
2014,0,"Average",3848,4,3,1,7.207,668800,"CHARLOTTESVILLE"
1955,0,"Average",922,2,1,0,0.57,184500,"CHARLOTTESVILLE"
1992,0,"Average",1248,3,2,0,0.81,188900,"CHARLOTTESVILLE"
1974,0,"Average",1425,5,2,1,2.336,394200,"CHARLOTTESVILLE"
1975,0,"Good",2654,3,2,1,2.441,389200,"CHARLOTTESVILLE"
1975,0,"Average",1726,3,2,0,2.046,326100,"CHARLOTTESVILLE"
1975,0,"Average",1162,3,2,0,2.026,294700,"CHARLOTTESVILLE"
1980,2002,"Good",4593,4,3,1,2,935000,"CHARLOTTESVILLE"
1985,0,"Average",2300,4,3,2,1.377,435500,"CHARLOTTESVILLE"
1986,0,"Average",5166,4,5,0,16.753,1104300,"CHARLOTTESVILLE"
1984,2004,"Good",2531,3,4,0,4.941,577900,"CHARLOTTESVILLE"
1948,0,"Average",1286,2,1,1,2.855,260600,"CHARLOTTESVILLE"
1880,0,"Poor",1700,4,1,0,0.36,125200,"CHARLOTTESVILLE"
1800,2008,"Average",4228,3,4,0,5.039,996600,"CHARLOTTESVILLE"
1958,0,"Average",864,3,1,0,0.43,169800,"CHARLOTTESVILLE"
1900,0,"Average",2808,4,2,0,1.1,359400,"CHARLOTTESVILLE"
1945,0,"Average",1710,4,2,0,0.79,270700,"CHARLOTTESVILLE"
1900,2002,"Average",2138,3,3,0,1.533,455600,"CHARLOTTESVILLE"
1973,0,"Average",1663,4,2,0,0,335000,"CHARLOTTESVILLE"
1975,2000,"Good",2828,3,2,2,0.926,519800,"CHARLOTTESVILLE"
2005,0,"Good",2040,3,2,0,0.99,342400,"CHARLOTTESVILLE"
1975,0,"Average",2968,4,4,1,2.028,514500,"CHARLOTTESVILLE"
1976,0,"Average",2362,4,2,1,2.02,485000,"CHARLOTTESVILLE"
1977,0,"Average",1568,4,3,0,1.934,495000,"CHARLOTTESVILLE"
1978,0,"Average",2378,4,2,0,2.055,503400,"CHARLOTTESVILLE"
1981,0,"Average",1736,3,3,0,1.024,483500,"CHARLOTTESVILLE"
1981,0,"Average",2440,5,3,1,0.992,505400,"CHARLOTTESVILLE"
